Entity,alternative name,records lost,YEAR,story,SECTOR,METHOD,interesting story,DATA SENSITIVITY,DISPLAYED RECORDS,column 11,source name,1st source link,2nd source link
AOL,American Online,"92,000,000",2004,Jun 2004. A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,web,inside job,,1,"92,000,000",,CNN,http://money.cnn.com/2004/06/23/technology/aol_spam/,
Ameritrade Inc.,online broker,"200,000",2005,Apr 2005. Computer backup tape containing personal information was lost.,financial,lost device,,2,,,NBC,http://www.nbcnews.com/id/7561268/,
Citigroup,,"3,900,000",2005,Jun 2005. Blame the messenger! A box of computer tapes containing information on 3.9 million customers was lost by United Parcel Service (UPS) while in transit to a credit reporting agency.,financial,lost device,y,3,,,NY Times,http://www.nytimes.com/2005/06/07/business/07data.html?pagewanted=all&_moc.semityn.www,
Cardsystems Solutions Inc.,"Third-party payment processor for Visa, Mastercard, Amex,  and Discover","40,000,000",2005,"Jun 2005. CardSystems was fingered by MasterCard after it spotted fraud on credit card accounts and found a common thread, tracing it back to CardSystems.  An unauthorized entity put a specific code into CardSystems' network, enabling the person or group to gain access to the data. It's not clear how many of the 40 million accounts were actually stolen.",financial,hacked,y,3,,,Wired,https://www.wired.com/2005/06/cardsystems-data-left-unsecured/,
AOL,American Online,"20,000,000",2006,"Aug 2006. Durp. AOL VOLUNTARILY released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",web,oops!,y,1,,,Tech Crunch,http://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/,
